t_ms,seq,rtt_ms
18493,356,0.067
18545,357,0.074
18598,358,0.100
18649,359,0.109
18700,360,0.084
18751,361,0.072
18801,362,0.107
18852,363,0.100
18903,364,0.069
18954,365,0.064
19005,366,0.067
19055,367,0.109
19106,368,0.072
19158,369,0.081
19209,370,0.082
19260,371,0.072
19310,372,0.079
19364,373,0.071
19416,374,0.269
19468,375,0.101
19519,376,0.091
19570,377,0.087
19625,378,0.124
19677,379,0.081
19729,380,0.083
19781,381,0.097
19832,382,0.118
19885,383,0.086
19939,384,0.080
19991,385,0.118
20042,386,0.116
20092,387,0.080
20144,388,0.084
20196,389,0.097
20248,390,0.081
20300,391,0.126
20352,392,0.691
20405,393,0.153
20455,394,0.087
20508,395,0.078
20561,396,0.110
20613,397,0.082
20666,398,0.085
20719,399,0.085
20770,400,0.161
20824,401,0.096
20874,402,0.124
20925,403,0.081
20978,404,0.098
21029,405,0.079
21083,406,0.090
21135,407,0.118
21186,408,0.082
21239,409,0.079
21293,410,0.137
21342,411,0.078
21393,412,0.085
21447,413,0.109
21498,414,0.079
21549,415,0.077
21603,416,0.088
21655,417,0.096
21709,418,0.070
21760,419,0.177
21810,420,0.062
21862,421,0.068
21915,422,0.084
21967,423,0.247
22017,424,0.066
22070,425,0.075
22121,426,0.086
22175,427,0.114
22228,428,0.079
22278,429,0.070
22330,430,0.070
22383,431,0.128
22434,432,0.078
22487,433,0.070
22538,434,0.095
22590,435,0.102
22643,436,0.255
22695,437,0.072
22746,438,0.076
22799,439,0.073
22849,440,0.071
22900,441,0.071
22953,442,0.083
23005,443,0.107
23056,444,0.071
23111,445,0.132
23163,446,0.083
23213,447,0.067
23266,448,0.094
23319,449,0.080
23371,450,0.101
23424,451,0.098
23478,452,0.115
23529,453,0.125
23582,454,0.096
23632,455,0.085
23685,456,0.087
23740,457,0.076
23791,458,0.070
23843,459,0.078
23896,460,0.089
23947,461,0.075
23998,462,0.102
24050,463,0.072
24103,464,0.092
24157,465,0.087
24209,466,0.075
24260,467,0.069
24313,468,0.111
24365,469,0.080
24416,470,0.073
24467,471,0.066
24520,472,0.103
24571,473,0.076
24625,474,0.110
24676,475,0.072
24726,476,0.075
24777,477,0.117
24829,478,0.076
24881,479,0.068
24935,480,0.069
24986,481,0.070
25038,482,0.088
25090,483,0.066
25141,484,0.088
25193,485,0.262
25245,486,0.070
25299,487,0.097
25349,488,0.090
25398,489,0.077
25452,490,0.095
25503,491,0.085
25556,492,0.084
25608,493,0.074
25659,494,0.119
25713,495,0.070
25764,496,0.074
25816,497,0.074
25868,498,0.070
25919,499,0.077
25973,500,0.077
26025,501,0.096
26077,502,0.086
26128,503,0.111
26183,504,0.940
26236,505,0.083
26287,506,0.076
26339,507,0.113
26392,508,0.152
26443,509,0.164
26496,510,0.087
26547,511,0.109
26599,512,0.076
26651,513,0.088
26702,514,0.065
26755,515,0.073
26805,516,0.069
26860,517,0.109
26911,518,0.076
26964,519,0.080
27017,520,0.067
27072,521,0.129
27124,522,0.156
27172,523,0.114
27226,524,0.081
27277,525,0.087
27329,526,0.081
27380,527,0.081
27433,528,0.080
27485,529,0.084
27537,530,0.291
27588,531,0.093
27639,532,0.085
27690,533,0.117
27742,534,0.089
27794,535,0.085
27848,536,0.073
27899,537,0.075
27952,538,0.082
28004,539,0.073
28057,540,0.080
28109,541,0.139
28161,542,0.101
28212,543,0.098
28265,544,0.085
28319,545,0.075
28367,546,0.075
28419,547,0.146
28470,548,0.132
28523,549,0.073
28575,550,0.159
28629,551,0.095
28680,552,0.097
28734,553,0.123
