t_ms,seq,rtt_ms
67,1,0.099
117,2,0.124
168,3,0.079
220,4,0.077
272,5,0.074
325,6,0.132
380,7,0.072
427,8,0.064
479,9,0.108
530,10,0.095
581,11,0.113
634,12,0.098
684,13,0.068
735,14,0.067
787,15,0.075
838,16,0.066
889,17,0.064
940,18,0.075
990,19,0.180
1042,20,0.067
1093,21,0.066
1144,22,0.078
1195,23,0.130
1246,24,0.067
1297,25,0.070
1350,26,0.069
1399,27,0.076
1450,28,0.141
1501,29,0.063
1553,30,0.097
1602,31,0.061
1654,32,0.184
1706,33,0.065
1756,34,0.066
1810,35,0.068
1859,36,0.068
1911,37,0.074
1962,38,0.074
2013,39,0.212
2064,40,0.070
2115,41,0.066
2166,42,0.070
2217,43,0.064
2267,44,0.063
2319,45,0.070
2370,46,0.073
2420,47,0.099
2472,48,0.066
2523,49,0.123
2574,50,0.083
2625,51,0.080
2675,52,0.062
2727,53,0.065
2778,54,0.112
2829,55,0.067
2880,56,0.065
2931,57,0.073
2983,58,0.066
3034,59,0.071
3085,60,0.072
3136,61,0.066
3190,62,0.077
3240,63,0.071
3291,64,0.082
3342,65,0.085
3392,66,0.066
3443,67,0.071
3495,68,0.068
3546,69,0.073
3597,70,0.108
3648,71,0.067
3698,72,0.136
3750,73,0.067
3801,74,0.071
3852,75,0.065
3903,76,0.064
3954,77,0.075
4005,78,0.067
4056,79,0.066
4110,80,0.440
4162,81,0.072
4213,82,0.073
4264,83,0.068
4315,84,0.067
4367,85,0.067
4417,86,0.069
4468,87,0.067
4520,88,0.096
4570,89,0.082
4621,90,0.073
4672,91,0.075
4723,92,0.070
4774,93,0.078
4825,94,0.077
4876,95,0.101
4927,96,0.067
4978,97,0.072
5029,98,0.069
5082,99,0.112
5132,100,0.075
5183,101,0.072
5234,102,0.070
5285,103,0.075
5336,104,0.078
5387,105,0.173
5438,106,0.072
5489,107,0.074
5540,108,0.115
5591,109,0.134
5642,110,0.070
5693,111,0.106
5744,112,0.072
5795,113,0.070
5846,114,0.074
5897,115,0.073
5948,116,0.072
5998,117,0.079
6050,118,0.071
6101,119,0.065
6152,120,0.107
6203,121,0.075
6254,122,0.125
6305,123,0.070
6356,124,0.073
6407,125,0.108
6458,126,0.086
6510,127,0.109
6560,128,0.091
6611,129,0.065
6662,130,0.076
6713,131,0.072
6764,132,0.071
6816,133,0.075
6866,134,0.071
6917,135,0.073
6968,136,0.073
7019,137,0.072
7070,138,0.072
7121,139,0.072
7172,140,0.074
7223,141,0.073
7274,142,0.453
7325,143,0.075
7376,144,0.074
7427,145,0.077
7479,146,0.092
7529,147,0.084
7580,148,0.080
7631,149,0.068
7682,150,0.077
7733,151,0.074
7784,152,0.074
7835,153,0.117
7887,154,0.079
7938,155,0.076
7991,156,0.073
8042,157,0.077
8095,158,0.069
8147,159,0.072
8199,160,0.078
8250,161,0.075
