seq,rtt_ms
1,15.5
2,20.6
3,19.1
4,19.1
5,16.2
6,16.6
7,19.3
8,20.1
9,19.4
10,20.2
11,19.5
12,20.0
13,19.9
14,20.0
15,18.5
16,20.2
17,20.2
18,20.0
19,20.3
20,19.5
21,20.1
22,20.2
23,17.6
24,18.5
25,17.9
26,19.8
27,20.2
28,20.3
29,15.8
30,21.1
31,20.3
32,18.8
33,20.2
34,18.2
35,18.9
36,20.4
37,19.0
38,18.5
39,17.5
40,17.8
41,19.5
42,19.5
43,19.2
44,19.2
45,15.5
46,18.7
47,20.3
48,20.1
49,17.9
50,16.1
51,20.1
52,21.0
53,20.2
54,20.4
55,20.3
56,20.4
57,20.6
58,20.1
59,17.5
60,18.8
61,19.6
62,19.4
63,18.9
64,19.8
65,15.7
66,19.9
67,19.9
68,20.3
69,16.5
70,19.3
71,18.5
72,19.4
73,20.3
74,20.4
75,18.5
76,20.4
77,20.3
78,19.2
79,19.6
80,16.5
81,19.6
82,20.5
83,19.9
84,18.7
85,17.9
86,18.8
87,20.5
88,20.2
89,19.6
90,17.7
91,18.7
92,19.0
93,20.3
94,20.4
95,19.5
96,20.0
97,20.4
98,20.3
99,20.1
100,18.6
101,19.2
102,19.2
103,18.6
104,20.5
105,15.8
106,16.6
107,17.0
108,20.4
109,20.7
110,18.8
111,18.2
112,19.7
113,19.6
114,19.6
115,19.4
116,20.0
117,20.2
118,20.3
119,20.3
120,20.2
121,19.7
122,19.5
123,18.8
124,19.4
125,15.5
126,16.4
127,19.5
128,16.9
129,16.2
130,15.5
131,18.5
132,17.7
133,20.3
134,19.3
135,18.6
136,20.6
137,20.8
138,20.0
139,20.4
140,19.0
141,17.9
142,16.3
143,16.2
144,19.0
145,18.3
146,20.2
147,20.3
148,20.5
149,19.8
150,18.9
151,19.4
152,20.3
153,19.6
154,21.0
155,18.8
156,20.2
157,21.0
158,20.5
159,20.0
160,17.1
161,19.4
162,19.6
163,19.5
164,18.1
165,16.3
166,20.2
167,20.2
168,20.1
169,20.4
170,19.0
171,16.6
172,17.8
173,16.2
174,18.3
175,17.6
176,18.1
177,16.2
178,16.2
179,16.2
180,15.7
181,16.2
182,15.7
183,16.1
184,16.9
185,15.6
186,16.2
187,16.2
188,15.7
189,16.2
190,16.3
191,16.3
192,16.0
193,16.2
194,16.2
195,16.2
196,16.2
197,16.3
198,16.0
199,16.2
200,16.3
201,16.2
202,16.2
203,16.2
204,17.2
205,15.7
206,16.4
207,16.1
208,16.1
209,16.0
210,15.8
211,16.2
212,15.6
213,16.2
214,16.3
