seq,rtt_ms
1,0.069
2,0.242
3,0.126
4,0.135
5,0.124
6,0.126
7,0.124
8,0.124
9,0.127
10,0.127
11,0.126
12,0.135
13,0.124
14,0.130
15,0.123
16,0.127
17,0.126
18,0.102
19,0.125
20,0.124
21,0.182
22,0.144
23,0.155
24,0.101
25,0.126
26,0.125
27,0.178
28,0.098
29,0.123
30,0.123
31,0.123
32,0.143
33,0.101
34,0.090
35,0.125
36,0.123
37,0.126
38,0.124
39,0.126
40,0.125
41,0.089
42,0.088
43,0.152
44,0.101
45,0.125
46,0.127
47,0.126
48,0.127
49,0.124
50,0.126
51,0.234
52,0.132
53,0.127
54,0.102
55,0.125
56,0.123
57,0.123
58,0.123
59,0.123
60,0.122
61,0.098
62,0.233
63,0.100
64,0.122
65,0.124
66,0.123
67,0.124
68,0.101
69,0.126
70,0.127
71,0.125
72,0.125
73,0.126
74,0.126
75,0.123
76,0.202
77,0.125
78,0.127
79,0.125
80,0.101
81,0.101
82,0.143
83,0.100
84,0.123
85,0.123
86,0.125
87,0.126
88,0.121
89,0.125
90,0.126
91,0.124
92,0.128
93,0.126
94,0.153
95,0.123
96,0.125
97,0.125
98,0.125
99,0.146
100,0.102
101,0.125
102,0.101
103,0.103
104,0.229
105,0.124
106,0.127
107,0.126
108,0.124
109,0.125
110,0.126
111,0.125
112,0.125
113,0.127
114,0.125
115,0.125
116,0.124
117,0.100
118,0.127
119,0.124
120,0.102
121,0.124
122,0.125
123,0.126
124,0.125
125,0.125
126,0.126
127,0.124
128,0.099
129,0.126
130,0.148
131,0.126
132,0.126
133,0.158
134,0.102
135,0.147
136,0.125
137,0.124
138,0.124
139,0.086
140,0.088
141,0.128
142,0.063
143,0.124
144,0.125
145,0.103
146,0.125
147,0.125
148,0.125
149,0.126
150,0.125
151,0.124
152,0.125
153,0.126
154,0.128
155,0.126
156,0.102
157,0.124
158,0.127
159,0.080
160,0.125
161,0.111
162,0.100
163,0.125
164,0.181
165,0.125
166,0.126
167,0.101
168,0.123
169,0.123
170,0.125
171,0.109
172,0.125
173,0.123
174,0.149
175,0.126
176,0.124
177,0.124
178,0.161
179,0.103
180,0.125
181,0.118
182,0.124
183,0.103
184,0.100
185,0.101
186,0.100
187,0.124
188,0.155
189,0.126
190,0.125
191,0.123
192,0.123
193,0.122
194,0.125
195,0.125
196,0.126
197,0.152
198,0.103
199,0.103
200,0.100
201,0.101
202,0.128
203,0.126
204,0.123
205,0.126
206,0.127
207,0.153
208,0.126
209,0.124
210,0.122
211,0.115
212,0.126
213,0.126
214,0.125
215,0.124
216,0.102
217,0.123
218,0.125
219,0.125
220,0.080
221,0.126
222,0.126
223,0.125
224,0.124
225,0.125
226,0.128
227,0.124
228,0.124
229,0.100
230,0.124
231,0.126
232,0.126
233,0.126
234,0.123
235,0.102
236,0.126
237,0.122
238,0.089
239,0.101
240,0.101
241,0.124
242,0.089
243,0.101
244,0.125
245,0.125
246,0.125
247,0.125
248,0.126
249,0.123
250,0.126
251,0.124
252,0.125
253,0.124
254,0.101
255,0.125
256,0.124
257,0.101
258,0.101
259,0.099
260,0.101
261,0.150
262,0.127
263,0.100
264,0.128
265,0.124
266,0.100
267,0.127
268,0.125
269,0.128
270,0.126
271,0.127
272,0.126
273,0.126
274,0.126
275,0.125
276,0.127
277,0.126
278,0.125
279,0.126
280,0.125
281,0.126
282,0.125
283,0.125
284,0.124
285,0.125
286,0.131
287,0.125
288,0.126
289,0.125
290,0.126
291,0.126
292,0.125
293,0.124
294,0.125
295,0.126
296,0.108
297,0.125
298,0.112
299,0.126
300,0.128
301,0.155
302,0.149
303,0.126
304,0.125
305,0.125
306,0.102
307,0.124
308,0.127
309,0.125
310,0.124
311,0.127
312,0.160
313,0.125
314,0.127
315,0.155
316,0.079
317,0.078
318,0.126
319,0.124
320,0.123
321,0.125
322,0.123
323,0.124
324,0.179
325,0.122
326,0.123
327,0.123
328,0.124
329,0.124
330,0.122
331,0.124
332,0.124
333,0.121
334,0.121
335,0.087
336,0.091
337,0.099
338,0.125
339,0.124
340,0.125
341,0.124
342,0.123
343,0.126
344,0.127
345,0.125
346,0.126
347,0.127
348,0.128
349,0.127
350,0.126
351,0.125
352,0.181
353,0.126
354,0.123
355,0.101
356,0.102
357,0.125
358,0.087
359,0.125
360,0.129
361,0.127
362,0.127
363,0.126
364,0.157
365,0.124
366,0.153
367,0.126
368,0.103
369,0.124
370,0.126
371,0.127
372,0.127
373,0.126
374,0.129
375,0.127
376,0.125
377,0.103
378,0.127
379,0.125
380,0.126
381,0.140
382,0.124
383,0.126
384,0.129
385,0.153
386,0.124
387,0.125
388,0.126
389,0.127
390,0.131
391,0.126
392,0.125
393,0.127
394,0.083
395,0.127
396,0.103
397,0.101
398,0.127
399,0.126
400,0.125
