t_ms,seq,rtt_ms
18469,357,0.149
18520,358,0.080
18573,359,0.083
18625,360,0.117
18677,361,0.080
18730,362,0.538
18782,363,0.143
18833,364,0.111
18884,365,0.111
18935,366,0.081
18989,367,0.092
19041,368,0.137
19093,369,0.113
19145,370,0.077
19198,371,0.113
19248,372,0.079
19300,373,0.078
19351,374,0.075
19405,375,0.085
19456,376,0.105
19508,377,0.079
19561,378,0.112
19612,379,0.082
19663,380,0.072
19714,381,0.074
19765,382,0.096
19819,383,0.076
19870,384,0.078
19922,385,0.110
19974,386,0.078
20028,387,0.091
20078,388,0.074
20129,389,0.074
20180,390,0.152
20231,391,0.189
20283,392,0.078
20335,393,0.070
20386,394,0.076
20438,395,0.076
20491,396,0.079
20542,397,0.080
20595,398,0.115
20647,399,0.078
20699,400,0.077
20750,401,0.118
20801,402,0.126
20852,403,0.087
20903,404,0.073
20954,405,0.083
21005,406,0.112
21056,407,0.108
21108,408,0.081
21159,409,0.112
21210,410,0.078
21263,411,0.079
21315,412,0.079
21367,413,0.110
21419,414,0.075
21471,415,0.073
21523,416,0.075
21574,417,0.110
21626,418,0.076
21677,419,0.115
21729,420,0.096
21782,421,0.111
21833,422,0.088
21885,423,0.075
21937,424,0.063
21990,425,0.134
22040,426,0.075
22091,427,0.078
22142,428,0.077
22194,429,0.078
22247,430,0.101
22298,431,0.077
22350,432,0.079
22402,433,0.121
22453,434,0.118
22504,435,0.077
22555,436,0.078
22607,437,0.074
22659,438,0.075
22711,439,0.072
22762,440,0.132
22813,441,0.220
22865,442,0.114
22916,443,0.077
22968,444,0.080
23019,445,0.077
23071,446,0.076
23123,447,0.344
23175,448,0.081
23226,449,0.086
23278,450,0.079
23329,451,0.077
23382,452,0.080
23432,453,0.213
23484,454,0.110
23535,455,0.074
23586,456,0.080
23637,457,0.077
23690,458,0.075
23742,459,0.124
23794,460,0.095
23846,461,0.072
23898,462,0.074
23950,463,0.082
24002,464,0.081
24054,465,0.079
24105,466,0.080
24157,467,0.148
24208,468,0.076
24260,469,0.082
24312,470,0.075
24364,471,0.104
24415,472,0.077
24468,473,0.076
24520,474,0.070
24571,475,0.075
24622,476,0.075
24674,477,0.074
24725,478,0.161
24777,479,0.094
24829,480,0.086
24881,481,0.079
24933,482,0.078
24985,483,0.077
25037,484,0.077
25089,485,0.074
25140,486,0.077
25191,487,0.077
25243,488,0.081
25294,489,0.079
25346,490,0.077
25398,491,0.075
25449,492,0.124
25501,493,0.111
25552,494,0.078
25604,495,0.074
25656,496,0.079
25708,497,0.108
25760,498,0.125
25812,499,0.109
25863,500,0.081
25914,501,0.077
25966,502,0.075
26017,503,0.076
26069,504,0.151
26120,505,0.076
26172,506,0.077
26223,507,0.079
26275,508,0.106
26326,509,0.075
26379,510,0.077
26431,511,0.076
26482,512,0.079
26534,513,0.109
