seq,rtt_ms
1,0.111
2,0.156
3,0.073
4,0.071
5,0.073
6,0.068
7,0.067
8,0.065
9,0.071
10,0.074
11,0.071
12,0.071
13,0.072
14,0.071
15,0.126
16,0.119
17,0.092
18,0.093
19,0.079
20,0.080
21,0.071
22,0.071
23,0.071
24,0.073
25,0.071
26,0.074
27,0.073
28,0.074
29,0.070
30,0.072
31,0.069
32,0.071
33,0.074
34,0.071
35,0.173
36,0.118
37,0.080
38,0.072
39,0.072
40,0.107
41,0.076
42,0.104
43,0.128
44,0.127
45,0.134
46,0.131
47,0.121
48,0.089
49,0.103
50,0.129
51,0.213
52,0.112
53,0.156
54,0.110
55,0.092
56,0.081
57,0.082
58,0.081
59,0.104
60,0.080
61,0.076
62,0.174
63,0.121
64,0.113
65,0.075
66,0.072
67,0.078
68,0.090
69,0.088
70,0.163
71,0.139
72,0.192
73,0.118
74,0.107
75,0.084
76,0.073
77,0.072
78,0.072
79,0.068
80,0.068
