seq,rtt_ms
1,0.109
2,0.079
3,0.117
4,0.094
5,0.075
6,0.072
7,0.073
8,0.076
9,0.069
10,0.071
11,0.067
12,0.068
13,0.070
14,0.070
15,0.063
16,0.062
17,0.064
18,0.066
19,0.064
20,0.069
21,0.096
22,0.119
23,0.096
24,0.076
25,0.075
26,0.072
27,0.066
28,0.076
29,0.075
30,0.069
31,0.071
32,0.079
33,0.071
34,0.072
35,0.070
36,0.073
37,0.071
38,0.072
39,0.074
40,0.104
41,0.099
42,0.098
43,0.064
44,0.075
45,0.073
46,0.069
47,0.072
48,0.074
49,0.070
50,0.073
51,0.084
52,0.060
53,0.064
54,0.064
55,0.086
56,0.066
57,0.064
58,0.070
59,0.070
60,0.089
61,0.104
62,0.095
63,0.100
64,0.064
65,0.063
66,0.064
67,0.091
68,0.066
69,0.063
70,0.064
71,0.070
72,0.075
73,0.072
74,0.072
75,0.070
76,0.103
77,0.077
78,0.072
79,0.072
80,0.068
