seq,rtt_ms
1,0.117
2,0.076
3,0.119
4,0.100
5,0.079
6,0.068
7,0.066
8,0.064
9,0.070
10,0.065
11,0.065
12,0.063
13,0.072
14,0.084
15,0.072
16,0.063
17,0.066
18,0.063
19,0.063
20,0.062
21,0.069
22,0.065
23,0.128
24,0.071
25,0.067
26,0.067
27,0.067
28,0.061
29,0.064
30,0.066
31,0.065
32,0.063
33,0.073
34,0.077
35,0.072
36,0.065
37,0.065
38,0.066
39,0.065
40,0.064
41,0.064
42,0.149
43,0.133
44,0.876
45,0.070
46,0.070
47,0.066
48,0.066
49,0.066
50,0.069
51,0.076
52,0.065
53,0.067
54,0.068
55,0.068
56,0.067
57,0.068
58,0.069
59,0.067
60,0.067
61,0.068
62,0.122
63,0.098
64,0.082
65,0.074
66,0.078
67,0.073
68,0.074
69,0.077
70,0.076
71,0.072
72,0.074
73,0.076
74,0.078
75,0.075
76,0.072
77,0.073
78,0.077
79,0.074
80,0.074
