seq,rtt_ms
1,0.065
2,0.100
3,0.110
4,0.130
5,0.102
6,0.100
7,0.124
8,0.102
9,0.125
10,0.102
11,0.100
12,0.102
13,0.125
14,0.126
15,0.126
16,0.127
17,0.148
18,0.126
19,0.220
20,0.127
21,0.125
22,0.126
23,0.103
24,0.125
25,0.100
26,0.115
27,0.125
28,0.125
29,0.174
30,0.126
31,0.101
32,0.128
33,0.142
34,0.124
35,0.126
36,0.131
37,0.101
38,0.125
39,0.125
40,0.124
41,0.102
42,0.124
43,0.100
44,0.090
45,0.102
46,0.102
47,0.123
48,0.124
49,0.125
50,0.125
51,0.104
52,0.125
53,0.101
54,0.124
55,0.103
56,0.136
57,0.124
58,0.125
59,0.103
60,0.126
61,0.117
62,0.085
63,0.090
64,0.101
65,0.102
66,0.131
67,0.123
68,0.127
69,0.124
70,0.124
71,0.125
72,0.125
73,0.124
74,0.127
75,0.125
76,0.131
77,0.125
78,0.127
79,0.126
80,0.127
81,0.127
82,0.101
83,0.126
84,0.101
85,0.101
86,0.126
87,0.124
88,0.176
89,0.124
90,0.101
91,0.100
92,0.127
93,0.123
94,0.124
95,0.124
96,0.174
97,0.126
98,0.124
99,0.124
100,0.125
101,0.122
102,0.101
103,0.127
104,0.105
105,0.125
106,0.200
107,0.124
108,0.127
109,0.125
110,0.124
111,0.126
112,0.155
113,0.125
114,0.125
115,0.127
116,0.179
117,0.126
118,0.126
119,0.125
120,0.125
121,0.080
122,0.101
123,0.123
124,0.125
125,0.159
126,0.181
127,0.115
128,0.103
129,0.112
130,0.076
131,0.086
132,0.089
133,0.125
134,0.080
135,0.098
136,0.088
137,0.089
138,0.089
139,0.088
140,0.090
141,0.087
142,0.086
143,0.117
144,0.107
145,0.088
146,0.087
147,0.089
148,0.087
149,0.088
150,0.089
151,0.084
152,0.088
153,0.097
154,0.095
155,0.101
156,0.095
157,0.102
158,0.130
159,0.089
160,0.101
161,0.086
162,0.086
163,0.103
164,0.090
165,0.083
166,0.087
167,0.087
168,0.089
169,0.083
170,0.086
171,0.140
172,0.088
173,0.105
174,0.089
175,0.087
176,0.086
177,0.123
178,0.118
179,0.099
180,0.100
181,0.124
182,0.123
183,0.126
184,0.126
185,0.125
186,0.126
187,0.124
188,0.127
189,0.126
190,0.127
191,0.125
192,0.173
193,0.087
194,0.091
195,0.089
196,0.087
197,0.090
198,0.111
199,0.080
200,0.103
201,0.087
202,0.087
203,0.092
204,0.087
205,0.089
206,0.085
207,0.089
208,0.099
209,0.125
210,0.099
211,0.125
212,0.255
213,0.128
214,0.125
215,0.127
216,0.126
217,0.126
218,0.124
219,0.112
220,0.126
221,0.124
222,0.143
223,0.125
224,0.129
225,0.138
226,0.122
227,0.100
228,0.124
229,0.126
230,0.126
231,0.100
232,0.135
233,0.101
234,0.127
235,0.101
236,0.128
237,0.127
238,0.124
239,0.125
240,0.126
241,0.100
242,0.148
243,0.125
244,0.153
245,0.125
246,0.127
247,0.125
248,0.127
249,0.125
250,0.126
251,0.127
252,0.144
253,0.101
254,0.126
255,0.126
256,0.126
257,0.128
258,0.091
259,0.106
260,0.137
261,0.101
262,0.186
263,0.126
264,0.125
265,0.125
266,0.127
267,0.133
268,0.126
269,0.124
270,0.125
271,0.124
272,0.344
273,0.125
274,0.126
275,0.126
276,0.127
277,0.126
278,0.079
279,0.125
280,0.124
281,0.100
282,0.129
283,0.124
284,0.127
285,0.125
286,0.124
287,0.123
288,0.124
289,0.151
290,0.126
291,0.124
292,0.160
293,0.124
294,0.122
295,0.123
296,0.103
297,0.100
298,0.100
299,0.101
300,0.139
301,0.104
302,0.128
303,0.100
304,0.100
305,0.101
306,0.102
307,0.122
308,0.148
309,0.124
310,0.126
311,0.127
312,0.125
313,0.125
314,0.125
315,0.125
316,0.125
317,0.080
318,0.174
319,0.100
320,0.102
321,0.125
322,0.126
323,0.124
324,0.113
325,0.125
326,0.125
327,0.119
328,0.108
329,0.088
330,0.101
331,0.101
332,0.196
333,0.090
334,0.101
335,0.149
336,0.101
337,0.129
338,0.099
339,0.082
340,0.078
341,0.077
342,0.076
343,0.059
344,0.104
345,0.080
346,0.122
347,0.103
348,0.083
349,0.319
350,0.123
351,0.079
352,0.125
353,0.123
354,0.124
355,0.126
356,0.116
357,0.099
358,0.087
359,0.096
360,0.142
361,0.108
362,0.102
363,0.127
364,0.127
365,0.127
366,0.102
367,0.210
368,0.101
369,0.126
370,0.154
371,0.126
372,0.125
373,0.155
374,0.128
375,0.103
376,0.088
377,0.102
378,0.098
379,0.146
380,0.127
381,0.125
382,0.125
383,0.126
384,0.124
385,0.125
386,0.124
387,0.124
388,0.126
389,0.267
390,0.125
391,0.127
392,0.128
393,0.128
394,0.130
395,0.088
396,0.125
397,0.127
398,0.101
399,0.346
400,0.127
