seq,rtt_ms
1,0.055
2,0.125
3,0.108
4,0.142
5,0.113
6,0.112
7,0.089
8,0.095
9,0.111
10,0.116
11,0.115
12,0.089
13,0.129
14,0.113
15,0.112
16,0.129
17,0.111
18,0.139
19,0.112
20,0.112
21,0.114
22,0.114
23,0.079
24,0.079
25,0.090
26,0.170
27,0.113
28,0.160
29,0.111
30,0.114
31,0.091
32,0.087
33,0.160
34,0.114
35,0.111
36,0.166
37,0.143
38,0.089
39,0.110
40,0.143
41,0.123
42,0.113
43,0.079
44,0.090
45,0.090
46,0.092
47,0.113
48,0.089
49,0.112
50,0.111
51,0.165
52,0.114
53,0.166
54,0.111
55,0.113
56,0.110
57,0.114
58,0.116
59,0.113
60,0.113
61,0.112
62,0.087
63,0.134
64,0.113
65,0.092
66,0.112
67,0.111
68,0.112
69,0.112
70,0.120
71,0.091
72,0.091
73,0.112
74,0.089
75,0.113
76,0.111
77,0.116
78,0.100
79,0.113
80,0.137
81,0.091
82,0.166
83,0.112
84,0.111
85,0.110
86,0.113
87,0.092
88,0.112
89,0.103
90,0.079
91,0.074
92,0.072
93,0.094
94,0.079
95,0.105
96,0.113
97,0.112
98,0.112
99,0.131
100,0.056
101,0.090
102,0.073
103,0.078
104,0.078
105,0.089
106,0.092
107,0.112
108,0.079
109,0.043
110,0.066
111,0.059
112,0.054
113,0.056
114,0.076
115,0.064
116,0.092
117,0.113
118,0.091
119,0.101
120,0.077
121,0.074
122,0.078
123,0.092
124,0.154
125,0.092
126,0.154
127,0.112
128,0.120
129,0.109
130,0.095
131,0.055
132,0.140
133,0.111
134,0.119
135,0.090
136,0.091
137,0.114
138,0.091
139,0.110
140,0.109
141,0.088
142,0.179
143,0.089
144,0.111
145,0.110
146,0.111
147,0.112
148,0.091
149,0.090
150,0.111
151,0.110
152,0.093
153,0.112
154,0.092
155,0.193
156,0.089
157,0.111
158,0.111
159,0.090
160,0.080
161,0.088
162,0.156
163,0.091
164,0.113
165,0.113
166,0.121
167,0.109
168,0.088
169,0.136
170,0.114
171,0.112
172,0.160
173,0.111
174,0.110
175,0.105
176,0.113
177,0.112
178,0.148
179,0.086
180,0.079
181,0.048
182,0.089
183,0.090
184,0.066
185,0.082
186,0.048
187,0.114
188,0.091
189,0.162
190,0.114
191,0.078
192,0.068
193,0.078
194,0.116
195,0.053
196,0.079
197,0.091
198,0.077
199,0.124
200,0.111
201,0.091
202,0.091
203,0.114
204,0.112
205,0.090
206,0.107
207,0.112
208,0.138
209,0.128
210,0.111
211,0.112
212,0.166
213,0.110
214,0.115
215,0.110
216,0.113
217,0.113
218,0.090
219,0.119
220,0.079
221,0.113
222,0.149
223,0.154
224,0.091
225,0.091
226,0.114
227,0.089
228,0.090
229,0.113
230,0.092
231,0.152
232,0.090
233,0.089
234,0.113
235,0.112
236,0.100
237,0.125
238,0.107
239,0.112
240,0.090
241,0.134
242,0.151
243,0.114
244,0.071
245,0.065
246,0.076
247,0.090
248,0.090
249,0.112
250,0.168
251,0.110
252,0.115
253,0.108
254,0.087
255,0.110
256,0.110
257,0.088
258,0.079
259,0.088
260,0.090
261,0.110
262,0.112
263,0.113
264,0.123
265,0.111
266,0.090
267,0.101
268,0.110
269,0.110
270,0.158
271,0.112
272,0.110
273,0.110
274,0.112
275,0.113
276,0.110
277,0.112
278,0.078
279,0.091
280,0.089
281,0.081
282,0.079
283,0.143
284,0.111
285,0.087
286,0.116
287,0.093
288,0.113
289,0.114
290,0.093
291,0.076
292,0.046
293,0.088
294,0.079
295,0.078
296,0.112
297,0.152
298,0.112
299,0.089
300,0.160
301,0.113
302,0.112
303,0.110
304,0.115
305,0.111
306,0.142
307,0.092
308,0.114
309,0.113
310,0.167
311,0.110
312,0.110
313,0.089
314,0.111
315,0.114
316,0.090
317,0.117
318,0.113
319,0.113
320,0.166
321,0.111
322,0.115
323,0.116
324,0.113
325,0.113
326,0.077
327,0.087
328,0.080
329,0.078
330,0.079
331,0.078
332,0.079
333,0.080
334,0.080
335,0.079
336,0.078
337,0.126
338,0.095
339,0.072
340,0.078
341,0.071
342,0.077
343,0.077
344,0.103
345,0.077
346,0.081
347,0.111
348,0.076
349,0.078
350,0.128
351,0.079
352,0.077
353,0.078
354,0.076
355,0.080
356,0.097
357,0.081
358,0.081
359,0.079
360,0.080
361,0.070
362,0.079
363,0.078
364,0.078
365,0.077
366,0.077
367,0.079
368,0.079
369,0.072
370,0.119
371,0.105
372,0.079
373,0.079
374,0.097
375,0.088
376,0.090
377,0.144
378,0.111
379,0.113
380,0.187
381,0.111
382,0.112
383,0.112
384,0.110
385,0.109
386,0.112
387,0.111
388,0.081
389,0.058
390,0.086
391,0.091
392,0.080
393,0.079
394,0.081
395,0.094
396,0.080
397,0.081
398,0.090
399,0.179
400,0.079
