seq,rtt_ms
1,0.052
2,0.093
3,0.188
4,0.112
5,0.088
6,0.080
7,0.114
8,0.091
9,0.088
10,0.087
11,0.079
12,0.081
13,0.072
14,0.079
15,0.079
16,0.083
17,0.078
18,0.077
19,0.078
20,0.074
21,0.082
22,0.062
23,0.071
24,0.090
25,0.113
26,0.110
27,0.138
28,0.111
29,0.089
30,0.114
31,0.113
32,0.113
33,0.121
34,0.116
35,0.114
36,0.114
37,0.113
38,0.114
39,0.115
40,0.113
41,0.113
42,0.114
43,0.148
44,0.113
45,0.086
46,0.087
47,0.072
48,0.078
49,0.112
50,0.110
51,0.110
52,0.111
53,0.110
54,0.111
55,0.112
56,0.113
57,0.112
58,0.115
59,0.113
60,0.077
61,0.089
62,0.111
63,0.111
64,0.110
65,0.111
66,0.119
67,0.112
68,0.112
69,0.113
70,0.113
71,0.114
72,0.112
73,0.114
74,0.112
75,0.113
76,0.112
77,0.091
78,0.112
79,0.113
80,0.114
81,0.112
82,0.116
83,0.096
84,0.117
85,0.112
86,0.091
87,0.113
88,0.112
89,0.113
90,0.112
91,0.112
92,0.113
93,0.091
94,0.114
95,0.074
96,0.093
97,0.115
98,0.113
99,0.142
100,0.111
101,0.110
102,0.111
103,0.084
104,0.078
105,0.091
106,0.093
107,0.119
108,0.113
109,0.113
110,0.120
111,0.111
112,0.110
113,0.090
114,0.113
115,0.114
116,0.089
117,0.112
118,0.115
119,0.089
120,0.094
121,0.113
122,0.114
123,0.089
124,0.142
125,0.113
126,0.090
127,0.112
128,0.113
129,0.092
130,0.153
131,0.112
132,0.113
133,0.113
134,0.112
135,0.113
136,0.117
137,0.113
138,0.113
139,0.112
140,0.120
141,0.113
142,0.075
143,0.092
144,0.093
145,0.090
146,0.092
147,0.114
148,0.113
149,0.113
150,0.121
151,0.112
152,0.114
153,0.113
154,0.115
155,0.113
156,0.112
157,0.113
158,0.113
159,0.113
160,0.141
161,0.112
162,0.113
163,0.113
164,0.091
165,0.112
166,0.139
167,0.111
168,0.109
169,0.091
170,0.269
171,0.112
172,0.113
173,0.109
174,0.111
175,0.112
176,0.111
177,0.127
178,0.113
179,0.112
180,0.288
181,0.115
182,0.112
183,0.112
184,0.091
185,0.137
186,0.111
187,0.129
188,0.112
189,0.116
190,0.300
191,0.112
192,0.089
193,0.090
194,0.111
195,0.115
196,0.112
197,0.136
198,0.091
199,0.113
200,0.202
201,0.073
202,0.079
203,0.089
204,0.110
205,0.110
206,0.110
207,0.418
208,0.113
209,0.113
210,0.159
211,0.112
212,0.113
213,0.112
214,0.118
215,0.113
216,0.113
217,0.111
218,0.113
219,0.112
220,0.163
221,0.113
222,0.092
223,0.091
224,0.114
225,0.113
226,0.114
227,0.090
228,0.103
229,0.092
230,0.163
231,0.113
232,0.112
233,0.112
234,0.093
235,0.120
236,0.119
237,0.113
238,0.116
239,0.113
240,0.081
241,0.092
242,0.123
243,0.092
244,0.111
245,0.113
246,0.112
247,0.112
248,0.112
249,0.114
250,0.114
251,0.113
252,0.112
253,0.112
254,0.112
255,0.120
256,0.111
257,0.110
258,0.111
259,0.111
260,0.111
261,0.112
262,0.113
263,0.113
264,0.112
265,0.113
266,0.112
267,0.114
268,0.110
269,0.113
270,0.112
271,0.113
272,0.090
273,0.092
274,0.113
275,0.090
276,0.113
277,0.111
278,0.114
279,0.155
280,0.113
281,0.113
282,0.092
283,0.113
284,0.112
285,0.111
286,0.113
287,0.112
288,0.113
289,0.112
290,0.111
291,0.112
292,0.111
293,0.111
294,0.112
295,0.111
296,0.111
297,0.112
298,0.116
299,0.082
300,0.077
301,0.089
302,0.089
303,0.110
304,0.111
305,0.109
306,0.110
307,0.111
308,0.111
309,0.112
310,0.115
311,0.113
312,0.112
313,0.111
314,0.111
315,0.111
316,0.112
317,0.112
318,0.111
319,0.112
320,0.138
321,0.090
322,0.114
323,0.110
324,0.113
325,0.112
326,0.112
327,0.112
328,0.111
329,0.112
330,0.112
331,0.112
332,0.116
333,0.113
334,0.112
335,0.113
336,0.114
337,0.113
338,0.079
339,0.111
340,0.110
341,0.091
342,0.112
343,0.113
344,0.112
345,0.109
346,0.128
347,0.112
348,0.109
349,0.113
350,0.111
351,0.113
352,0.090
353,0.112
354,0.113
355,0.111
356,0.244
357,0.112
358,0.096
359,0.143
360,0.112
361,0.091
362,0.112
363,0.113
364,0.112
365,0.116
366,0.113
367,0.113
368,0.113
369,0.143
370,0.113
371,0.111
372,0.111
373,0.112
374,0.109
375,0.090
376,0.120
377,0.113
378,0.114
379,0.091
380,0.119
381,0.090
382,0.115
383,0.114
384,0.112
385,0.141
386,0.119
387,0.112
388,0.112
389,0.112
390,0.112
391,0.111
392,0.113
393,0.113
394,0.143
395,0.112
396,0.120
397,0.082
398,0.105
399,0.133
400,0.111
