t_ms,seq,rtt_ms
18482,356,0.072
18532,357,0.105
18585,358,0.081
18635,359,0.069
18687,360,0.084
18739,361,0.076
18790,362,0.075
18841,363,0.071
18894,364,0.073
18944,365,0.073
18996,366,0.074
19047,367,0.102
19099,368,0.073
19150,369,0.103
19202,370,0.072
19253,371,0.071
19305,372,0.070
19357,373,0.105
19408,374,0.072
19461,375,0.068
19512,376,0.159
19564,377,0.099
19615,378,0.116
19667,379,0.074
19719,380,0.070
19771,381,0.074
19823,382,0.085
19876,383,0.086
19927,384,0.071
19978,385,0.070
20030,386,0.082
20083,387,0.121
20134,388,0.069
20186,389,0.072
20236,390,0.075
20288,391,0.073
20339,392,0.074
20391,393,0.073
20442,394,0.102
20494,395,0.084
20546,396,0.101
20598,397,0.078
20648,398,0.092
20701,399,0.073
20752,400,0.087
20804,401,0.073
20855,402,0.075
20907,403,0.073
20957,404,0.074
21009,405,0.072
21060,406,0.074
21111,407,0.071
21162,408,0.073
21214,409,0.073
21265,410,0.077
21317,411,0.072
21368,412,0.072
21419,413,0.074
21470,414,0.075
21522,415,0.105
21574,416,0.103
21626,417,0.087
21680,418,0.067
21732,419,0.067
21784,420,0.069
21836,421,0.077
21887,422,0.074
21939,423,0.072
21989,424,0.071
22041,425,0.276
22095,426,0.081
22145,427,0.074
22196,428,0.075
22248,429,0.077
22303,430,0.137
22353,431,0.072
22404,432,0.080
22455,433,0.074
22507,434,0.109
22558,435,0.106
22610,436,0.097
22663,437,0.077
22718,438,0.081
22765,439,0.071
22817,440,0.073
22868,441,0.073
22919,442,0.075
22972,443,0.074
23022,444,0.073
23074,445,0.081
23126,446,0.080
23177,447,0.076
23229,448,0.073
23281,449,0.084
23334,450,0.071
23385,451,0.082
23436,452,0.074
23487,453,0.075
23540,454,0.107
23591,455,0.077
23643,456,0.115
23693,457,0.102
23745,458,0.231
23796,459,0.073
23848,460,0.080
23900,461,0.077
23951,462,0.105
24004,463,0.095
24054,464,0.103
24106,465,0.119
24159,466,0.132
24209,467,0.101
24261,468,0.100
24312,469,0.070
24363,470,0.072
24416,471,0.072
24466,472,0.072
